date,sent
1/1/15,-0.091087719
1/2/15,0.026932515
1/3/15,0.047103448
1/4/15,0.05492
1/5/15,0.042015625
1/6/15,0.044505102
1/7/15,0.04720442
1/8/15,0.050521951
1/9/15,0.081637755
1/10/15,0.043603774
1/11/15,0.072772727
1/12/15,0.076915929
1/13/15,0.089579345
1/14/15,0.042316176
1/15/15,0.059073643
1/16/15,-0.023248322
1/17/15,0.014091954
1/18/15,0.028615385
1/19/15,0.092712963
1/20/15,0.086082192
1/21/15,0.092965657
1/22/15,-0.029319923
1/23/15,0.000278515
1/24/15,0.044330435
1/25/15,0.035341772
1/26/15,0.067606557
1/27/15,0.070253275
1/28/15,0.103106061
1/29/15,0.080878505
1/30/15,0.087132759
1/31/15,0.058038217
2/1/15,0.066964602
2/2/15,0.069319767
2/3/15,0.10673236
2/4/15,0.073051282
2/5/15,0.080511236
2/6/15,0.04632948
2/7/15,0.061875
2/8/15,0.043734177
2/9/15,0.057111765
2/10/15,0.041377907
2/11/15,0.052583815
2/12/15,0.066210227
2/13/15,0.060227979
2/14/15,0.052277778
2/15/15,0.048939597
2/16/15,0.036842593
2/17/15,0.0524
2/18/15,0.082222222
2/19/15,0.039651724
2/20/15,0.038121569
2/21/15,0.037923913
2/22/15,0.056564103
2/23/15,0.063848485
2/24/15,0.063942857
2/25/15,0.075357447
2/26/15,0.062491736
2/27/15,0.052457627
2/28/15,0.076120482
3/1/15,0.030447368
3/2/15,0.047994898
3/3/15,0.090163551
3/4/15,0.058509434
3/5/15,0.048870504
3/6/15,0.051918819
3/7/15,0.043719008
3/8/15,0.092878788
3/9/15,0.052105
3/10/15,0.045960976
3/11/15,0.050123596
3/12/15,0.091238372
3/13/15,0.051606667
3/14/15,0.095964912
3/15/15,0.07025
3/16/15,0.031805825
3/17/15,0.072221198
3/18/15,0.117
3/19/15,0.119493333
3/20/15,0.12200361
3/21/15,0.103091603
3/22/15,0.122075949
3/23/15,0.0876875
3/24/15,0.044286408
3/25/15,0.082346847
3/26/15,0.107044444
3/27/15,0.071329412
3/28/15,0.1050625
3/29/15,0.063090909
3/30/15,0.08934555
3/31/15,0.06855516
4/1/15,0.053108787
4/2/15,0.042246575
4/3/15,0.075928
4/4/15,0.030619565
4/5/15,0.01445098
